City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Saint-Philippe,RE,2022-01-23 22:25:42,-21.3585,55.7679,80.19,82,36,8.05
121,Prainha,BR,2022-01-23 22:25:42,-1.8,-53.48,79.25,77,94,2.51
122,Saskylakh,RU,2022-01-23 22:25:43,71.9167,114.0833,-17.07,100,95,5.03
123,Touros,BR,2022-01-23 22:25:43,-5.1989,-35.4608,83.3,73,7,11.52
124,Harper,LR,2022-01-23 22:25:44,4.375,-7.7169,78.8,84,0,7.76
125,Georgetown,MY,2022-01-23 22:22:21,5.4112,100.3354,78.73,92,20,2.3
126,Caravelas,BR,2022-01-23 22:25:44,-17.7125,-39.2481,76.17,81,37,4.38
127,Bandarbeyla,SO,2022-01-23 22:25:45,9.4942,50.8122,74.5,70,4,18.19
128,Severo-Kurilsk,RU,2022-01-23 22:25:45,50.6789,156.125,25.3,74,100,10.78
129,Oistins,BB,2022-01-23 22:25:45,13.0667,-59.5333,78.89,69,40,13.8
130,Lata,PT,2022-01-23 22:25:46,40.1629,-8.3327,49.82,80,0,3.22
131,San Cristobal,VE,2022-01-23 22:25:46,7.7669,-72.225,75.38,56,82,1.83
132,Mabaruma,GY,2022-01-23 22:25:47,8.2,-59.7833,74.5,82,6,4.99
133,Visavadar,IN,2022-01-23 22:26:47,21.3833,70.6833,54.43,42,6,5.01
134,Laguna,US,2022-01-23 22:26:48,38.421,-121.4238,67.84,59,0,3.0
135,Mahenge,TZ,2022-01-23 22:26:48,-8.6833,36.7167,63.7,95,100,3.18
136,Hondo,JP,2022-01-23 22:26:49,32.45,130.2,49.95,74,96,16.8
137,College,US,2022-01-23 22:26:49,64.8569,-147.8028,13.66,80,75,0.0
138,Mount Gambier,AU,2022-01-23 22:26:49,-37.8333,140.7667,78.71,41,78,11.5
139,Olafsvik,IS,2022-01-23 22:26:50,64.8945,-23.7142,27.18,59,100,20.85
140,Imbituba,BR,2022-01-23 22:26:50,-28.24,-48.6703,83.82,78,3,15.32
141,Bud,US,2022-01-23 22:26:51,39.447,-86.1758,29.12,64,100,10.78
142,Lar,IN,2022-01-23 22:26:51,26.2039,83.9717,55.62,96,14,7.85
143,Nicolas Bravo,MX,2022-01-23 22:26:51,18.45,-88.9167,79.68,87,34,3.53
144,Geraldton,AU,2022-01-23 22:26:52,-28.7667,114.6,70.21,83,40,10.36
145,Mantua,IT,2022-01-23 22:26:52,45.1667,10.7833,39.52,83,3,0.89
146,Totness,SR,2022-01-23 22:26:53,5.8833,-56.3167,76.71,78,31,9.69
147,Lodja,CD,2022-01-23 22:26:53,-3.4833,23.4333,71.67,85,100,0.22
148,Pudozh,RU,2022-01-23 22:26:53,61.8099,36.5345,17.01,94,100,10.0
149,Salalah,OM,2022-01-23 22:26:54,17.0151,54.0924,69.89,21,0,12.66
150,Shieli,KZ,2022-01-23 22:26:54,44.1667,66.75,22.86,93,6,3.51
151,Luderitz,NA,2022-01-23 22:26:55,-26.6481,15.1594,77.29,61,63,11.63
152,Kodiak,US,2022-01-23 22:26:55,57.79,-152.4072,40.51,87,100,5.75
153,Alenquer,BR,2022-01-23 22:26:56,-1.9417,-54.7383,80.94,83,98,4.0
154,Alyangula,AU,2022-01-23 22:26:56,-13.8483,136.4192,78.67,100,75,0.0
155,Saint Anthony,US,2022-01-23 22:26:57,45.0205,-93.218,7.93,65,100,4.0
156,Sergeyevka,KZ,2022-01-23 22:26:57,53.88,67.4158,-10.12,99,78,6.24
157,Christchurch,NZ,2022-01-23 22:26:57,-43.5333,172.6333,61.92,82,100,1.99
158,Kulhudhuffushi,MV,2022-01-23 22:26:58,6.6221,73.07,80.69,61,99,10.0
159,Vao,NC,2022-01-23 22:26:58,-22.6667,167.4833,77.14,67,8,8.86
160,New Norfolk,AU,2022-01-23 22:26:59,-42.7826,147.0587,73.65,59,96,0.43
161,Terrace,CA,2022-01-23 22:26:59,54.5163,-128.6035,40.42,100,100,0.0
